metrica;efeitos_principais;interacoes;maior_interacao
atraso relativo;118,9%;-18,9%;CD (-26,2%)
ocupação E_total;104,5%;-4,5%;AD (-2,6%)
tempo de ajuda TL;99,0%;1,0%;ACD (1,1%)
ociosidade TU;102,6%;-2,6%;AC (-2,4%)
esforço de retrabalho TR;105,5%;-5,5%;ACD (9,4%)
trabalho efetivo TW;97,2%;2,8%;AD (1,6%)
tarefas com defeito oculto;112,3%;-12,3%;AC (-11,7%)
taxa de omissão;112,3%;-12,3%;AC (-11,7%)
retrabalho sobre o plano;107,2%;-7,2%;ACD (10,1%)
dívida latente sobre o plano;161,8%;-61,8%;CD (-45,5%)
dívida latente de pico;161,7%;-61,7%;CD (-45,7%)
