cenario;metrica;a_nominal;b_tcc1;dif_relativa;p
centralizada;atraso relativo;3,1345;3,1345;0,0%;—
centralizada;ocupação E_total;0,7839;0,7839;0,0%;—
centralizada;tempo de ajuda TL;0,0000;0,0000;—;—
centralizada;ociosidade TU;126,2656;126,2656;0,0%;—
centralizada;retrabalho pago TR;68,8653;68,8653;0,0%;—
centralizada;dívida latente de pico;25,1123;25,1123;0,0%;—
centralizada;tarefas com defeito oculto;13,0208;13,0208;0,0%;—
adaptativa;atraso relativo;1,9991;1,9977;-0,1%;0,860
adaptativa;ocupação E_total;0,8885;0,8879;-0,1%;0,940
adaptativa;tempo de ajuda TL;10,4896;10,2188;-2,6%;0,346
adaptativa;ociosidade TU;5,9427;6,8906;16,0%;0,820
adaptativa;retrabalho pago TR;52,5089;52,9729;0,9%;0,782
adaptativa;dívida latente de pico;6,8235;6,9315;1,6%;0,744
adaptativa;tarefas com defeito oculto;3,8229;3,7344;-2,3%;0,815
