tau_min;ajudas;bloqueios;atraso_relativo;tu;tl;tr;e_total
0,2000;9,97;6,45;2,8600;6,45;9,97;59,64;0,8980
0,2250;9,97;6,45;2,8600;6,45;9,97;59,64;0,8980
0,2400;9,97;6,45;2,8600;6,45;9,97;59,64;0,8980
0,2490;9,97;6,45;2,8600;6,45;9,97;59,64;0,8980
0,2499;9,97;6,45;2,8600;6,45;9,97;59,64;0,8980
0,2500;0,00;126,27;3,1345;126,27;0,00;68,87;0,7839
0,2501;0,00;126,27;3,1345;126,27;0,00;68,87;0,7839
0,2510;0,00;126,27;3,1345;126,27;0,00;68,87;0,7839
0,2600;0,00;126,27;3,1345;126,27;0,00;68,87;0,7839
0,2750;0,00;126,27;3,1345;126,27;0,00;68,87;0,7839
0,3000;0,00;126,27;3,1345;126,27;0,00;68,87;0,7839
