arquivo,combinacao,makespan_cpm,makespan_recursos,razao_makespan,ativas_media,ativas_p90,ativas_max
j6010_1.sm,10,85,85,1.0,3.8,5.0,6
j6010_10.sm,10,73,73,1.0,4.36986301369863,6.799999999999997,8
j6010_2.sm,10,62,67,1.0806451612903225,5.268656716417911,8.0,11
j6010_3.sm,10,72,80,1.1111111111111112,4.4125,6.0,7
j6010_4.sm,10,80,80,1.0,4.125,6.0,7
j6010_5.sm,10,79,96,1.2151898734177216,3.9270833333333335,6.0,8
j6010_6.sm,10,67,75,1.1194029850746268,4.293333333333333,6.6000000000000085,7
j6010_7.sm,10,69,81,1.173913043478261,4.271604938271605,6.0,7
j6010_8.sm,10,64,73,1.140625,4.1506849315068495,6.0,7
j6010_9.sm,10,73,86,1.178082191780822,4.162790697674419,6.0,7
j6011_1.sm,11,71,71,1.0,5.154929577464789,8.0,9
j6011_10.sm,11,58,58,1.0,5.293103448275862,8.300000000000004,10
j6011_2.sm,11,61,62,1.0163934426229508,5.17741935483871,8.0,9
j6011_3.sm,11,76,76,1.0,4.526315789473684,8.0,9
j6011_4.sm,11,69,76,1.1014492753623188,4.328947368421052,7.0,8
j6011_5.sm,11,65,65,1.0,5.4,9.600000000000001,10
j6011_6.sm,11,70,73,1.042857142857143,4.534246575342466,7.0,9
j6011_7.sm,11,70,70,1.0,5.042857142857143,8.0,9
j6011_8.sm,11,69,69,1.0,5.188405797101449,8.0,10
j6011_9.sm,11,62,62,1.0,5.209677419354839,9.0,10
j6012_1.sm,12,59,59,1.0,5.610169491525424,12.400000000000006,16
j6012_10.sm,12,79,79,1.0,4.329113924050633,8.0,10
j6012_2.sm,12,58,58,1.0,4.948275862068965,9.300000000000004,10
j6012_3.sm,12,75,75,1.0,4.6,8.0,10
j6012_4.sm,12,69,69,1.0,4.956521739130435,10.200000000000003,14
j6012_5.sm,12,63,63,1.0,5.190476190476191,9.0,10
j6012_6.sm,12,54,54,1.0,6.092592592592593,11.0,15
j6012_7.sm,12,71,71,1.0,4.915492957746479,10.0,13
j6012_8.sm,12,60,60,1.0,5.033333333333333,10.0,12
j6012_9.sm,12,59,59,1.0,5.745762711864407,10.0,12
j6013_1.sm,13,69,145,2.101449275362319,2.3448275862068964,3.0,4
j6013_10.sm,13,63,154,2.4444444444444446,2.2987012987012987,3.0,4
j6013_2.sm,13,66,134,2.0303030303030303,2.328358208955224,3.0,4
j6013_3.sm,13,57,111,1.9473684210526316,2.981981981981982,4.0,5
j6013_4.sm,13,62,122,1.967741935483871,2.9508196721311477,4.0,4
j6013_5.sm,13,53,137,2.5849056603773586,2.408759124087591,4.0,4
j6013_6.sm,13,61,118,1.9344262295081966,2.7457627118644066,3.0,4
j6013_7.sm,13,54,106,1.962962962962963,3.009433962264151,4.0,4
j6013_8.sm,13,69,152,2.2028985507246377,2.263157894736842,3.0,4
j6013_9.sm,13,67,141,2.1044776119402986,2.475177304964539,3.0,4
j6014_1.sm,14,59,79,1.3389830508474576,4.2025316455696204,6.0,8
j6014_10.sm,14,67,90,1.3432835820895523,4.122222222222222,6.0,6
j6014_2.sm,14,65,69,1.0615384615384615,4.855072463768116,6.200000000000003,7
j6014_3.sm,14,61,71,1.1639344262295082,4.436619718309859,6.0,6
j6014_4.sm,14,65,80,1.2307692307692308,4.2,6.0,6
j6014_5.sm,14,59,67,1.1355932203389831,4.656716417910448,6.0,6
j6014_6.sm,14,65,72,1.1076923076923078,4.361111111111111,7.0,8
j6014_7.sm,14,69,74,1.0724637681159421,4.256756756756757,5.0,6
j6014_8.sm,14,88,88,1.0,3.2613636363636362,5.0,5
j6014_9.sm,14,61,71,1.1639344262295082,4.338028169014085,6.0,7
j6015_1.sm,15,84,84,1.0,3.9761904761904763,7.0,7
j6015_10.sm,15,61,61,1.0,4.918032786885246,8.0,9
j6015_2.sm,15,89,89,1.0,3.808988764044944,6.0,7
j6015_3.sm,15,72,72,1.0,4.736111111111111,9.0,10
j6015_4.sm,15,75,79,1.0533333333333332,4.7215189873417724,7.0,9
j6015_5.sm,15,70,70,1.0,4.885714285714286,7.0,8
j6015_6.sm,15,76,83,1.0921052631578947,4.0120481927710845,6.0,7
j6015_7.sm,15,64,66,1.03125,5.045454545454546,7.0,8
j6015_8.sm,15,79,79,1.0,4.569620253164557,7.0,7
j6015_9.sm,15,72,72,1.0,5.25,10.0,11
j6016_1.sm,16,64,64,1.0,5.703125,9.0,11
j6016_10.sm,16,68,68,1.0,5.235294117647059,10.0,12
j6016_2.sm,16,64,64,1.0,5.234375,10.0,13
j6016_3.sm,16,53,53,1.0,5.811320754716981,11.0,13
j6016_4.sm,16,60,60,1.0,5.2,9.100000000000001,11
j6016_5.sm,16,66,66,1.0,4.984848484848484,10.5,13
j6016_6.sm,16,66,66,1.0,5.46969696969697,9.0,11
j6016_7.sm,16,82,82,1.0,3.6219512195121952,6.0,7
j6016_8.sm,16,68,68,1.0,5.0,9.300000000000004,10
j6016_9.sm,16,54,54,1.0,5.944444444444445,10.0,12
j6017_1.sm,17,76,115,1.513157894736842,2.7217391304347824,5.0,6
j6017_10.sm,17,65,73,1.123076923076923,4.986301369863014,7.0,8
j6017_2.sm,17,67,89,1.328358208955224,3.4269662921348316,6.0,7
j6017_3.sm,17,79,101,1.2784810126582278,3.594059405940594,6.0,7
j6017_4.sm,17,69,74,1.0724637681159421,4.121621621621622,6.0,7
j6017_5.sm,17,52,72,1.3846153846153846,3.8194444444444446,6.899999999999999,8
j6017_6.sm,17,67,84,1.2537313432835822,3.5357142857142856,6.0,6
j6017_7.sm,17,81,87,1.0740740740740742,4.103448275862069,7.0,9
j6017_8.sm,17,66,97,1.4696969696969697,3.402061855670103,5.0,5
j6017_9.sm,17,70,89,1.2714285714285714,3.6179775280898876,6.0,6
j6018_1.sm,18,80,86,1.075,3.86046511627907,7.0,8
j6018_10.sm,18,97,99,1.0206185567010309,3.8686868686868685,6.0,8
j6018_2.sm,18,69,69,1.0,4.9855072463768115,7.0,8
j6018_3.sm,18,77,83,1.077922077922078,3.855421686746988,6.0,8
j6018_4.sm,18,71,74,1.0422535211267605,5.108108108108108,8.0,10
j6018_5.sm,18,80,80,1.0,4.0125,6.0,7
j6018_6.sm,18,61,62,1.0163934426229508,5.161290322580645,9.899999999999999,10
j6018_7.sm,18,87,99,1.1379310344827587,3.191919191919192,6.0,7
j6018_8.sm,18,78,78,1.0,4.269230769230769,7.0,9
j6018_9.sm,18,69,83,1.2028985507246377,3.9759036144578315,7.0,10
j6019_1.sm,19,62,63,1.0161290322580645,5.333333333333333,8.0,10
j6019_10.sm,19,78,78,1.0,4.3076923076923075,7.0,8
j6019_2.sm,19,83,83,1.0,4.530120481927711,7.0,9
j6019_3.sm,19,81,84,1.037037037037037,4.166666666666667,6.0,9
j6019_4.sm,19,67,67,1.0,4.746268656716418,7.399999999999999,9
j6019_5.sm,19,73,73,1.0,4.506849315068493,7.0,9
j6019_6.sm,19,68,70,1.0294117647058822,4.885714285714286,7.0,9
j6019_7.sm,19,60,61,1.0166666666666666,5.163934426229508,8.0,9
j6019_8.sm,19,82,90,1.0975609756097562,3.6777777777777776,7.0,9
j6019_9.sm,19,67,73,1.0895522388059702,4.8493150684931505,7.0,8
j601_1.sm,1,77,77,1.0,4.2727272727272725,7.0,8
j601_10.sm,1,76,84,1.105263157894737,4.214285714285714,7.0,9
j601_2.sm,1,65,83,1.2769230769230768,4.144578313253012,7.0,9
j601_3.sm,1,67,76,1.1343283582089552,4.157894736842105,7.0,9
j601_4.sm,1,79,97,1.2278481012658229,3.3402061855670104,7.0,8
j601_5.sm,1,68,77,1.1323529411764706,4.0,6.0,8
j601_6.sm,1,52,70,1.3461538461538463,4.228571428571429,6.0,7
j601_7.sm,1,60,86,1.4333333333333333,3.9651162790697674,6.0,8
j601_8.sm,1,71,89,1.2535211267605635,4.078651685393258,6.0,8
j601_9.sm,1,75,85,1.1333333333333333,4.023529411764706,6.0,7
j6020_1.sm,20,60,60,1.0,5.7,10.0,11
j6020_10.sm,20,70,70,1.0,4.6571428571428575,9.100000000000001,13
j6020_2.sm,20,78,78,1.0,3.6923076923076925,7.299999999999997,9
j6020_3.sm,20,69,69,1.0,5.043478260869565,7.0,8
j6020_4.sm,20,86,86,1.0,3.9302325581395348,9.0,12
j6020_5.sm,20,71,71,1.0,4.830985915492958,9.0,10
j6020_6.sm,20,97,97,1.0,3.484536082474227,8.0,10
j6020_7.sm,20,74,74,1.0,4.4324324324324325,7.700000000000003,9
j6020_8.sm,20,65,65,1.0,4.846153846153846,8.0,9
j6020_9.sm,20,74,74,1.0,4.891891891891892,9.0,10
j6021_1.sm,21,76,127,1.6710526315789473,2.6141732283464565,4.0,5
j6021_10.sm,21,51,104,2.0392156862745097,2.6634615384615383,4.0,7
j6021_2.sm,21,92,148,1.608695652173913,2.189189189189189,4.0,4
j6021_3.sm,21,65,133,2.046153846153846,2.4511278195488724,4.0,5
j6021_4.sm,21,64,124,1.9375,2.3870967741935485,3.0,4
j6021_5.sm,21,75,121,1.6133333333333333,2.7024793388429753,4.0,6
j6021_6.sm,21,63,104,1.6507936507936507,2.9711538461538463,4.0,5
j6021_7.sm,21,80,121,1.5125,2.760330578512397,4.0,6
j6021_8.sm,21,85,138,1.6235294117647059,2.420289855072464,4.0,4
j6021_9.sm,21,69,119,1.7246376811594204,2.9411764705882355,5.0,6
j6022_1.sm,22,62,73,1.1774193548387097,4.178082191780822,6.0,7
j6022_10.sm,22,69,77,1.1159420289855073,4.233766233766234,7.0,9
j6022_2.sm,22,83,90,1.0843373493975903,3.966666666666667,6.0,7
j6022_3.sm,22,70,84,1.2,3.8452380952380953,6.0,7
j6022_4.sm,22,64,95,1.484375,3.778947368421053,6.0,8
j6022_5.sm,22,76,82,1.0789473684210527,3.7439024390243905,6.0,7
j6022_6.sm,22,79,100,1.2658227848101267,3.51,6.0,7
j6022_7.sm,22,69,83,1.2028985507246377,4.506024096385542,7.0,8
j6022_8.sm,22,59,66,1.11864406779661,4.9393939393939394,7.0,9
j6022_9.sm,22,65,73,1.123076923076923,5.0,8.0,9
j6023_1.sm,23,75,75,1.0,5.1466666666666665,9.0,10
j6023_10.sm,23,68,68,1.0,4.264705882352941,6.300000000000004,8
j6023_2.sm,23,69,76,1.1014492753623188,4.671052631578948,7.0,9
j6023_3.sm,23,75,78,1.04,4.243589743589744,7.0,8
j6023_4.sm,23,83,83,1.0,4.024096385542169,6.0,7
j6023_5.sm,23,72,72,1.0,4.819444444444445,7.899999999999999,8
j6023_6.sm,23,81,81,1.0,3.8518518518518516,6.0,10
j6023_7.sm,23,60,65,1.0833333333333333,4.815384615384615,7.0,9
j6023_8.sm,23,72,72,1.0,4.611111111111111,7.0,8
j6023_9.sm,23,64,65,1.015625,4.7384615384615385,7.0,9
j6024_1.sm,24,65,65,1.0,4.369230769230769,7.0,8
j6024_10.sm,24,66,66,1.0,5.212121212121212,8.0,9
j6024_2.sm,24,55,55,1.0,5.5636363636363635,10.0,11
j6024_3.sm,24,67,67,1.0,4.6716417910447765,7.0,7
j6024_4.sm,24,78,78,1.0,4.5256410256410255,9.0,11
j6024_5.sm,24,76,76,1.0,4.157894736842105,7.0,8
j6024_6.sm,24,75,75,1.0,4.1066666666666665,8.0,10
j6024_7.sm,24,68,68,1.0,5.0588235294117645,8.0,10
j6024_8.sm,24,81,81,1.0,4.3580246913580245,7.0,8
j6024_9.sm,24,80,80,1.0,4.125,6.0,7
j6025_1.sm,25,71,148,2.084507042253521,1.972972972972973,3.0,4
j6025_10.sm,25,77,143,1.8571428571428572,2.4615384615384617,4.0,4
j6025_2.sm,25,69,127,1.8405797101449275,2.779527559055118,4.0,4
j6025_3.sm,25,90,149,1.6555555555555554,2.402684563758389,3.0,4
