arquivo,semente,cenario,concluiu,makespan,makespan_cpm,atraso_relativo,E_total,S_UR_maximo,n_com_erro,n_reportadas,taxa_omissao,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,TW,TL,TU,TR
j6010_1.sm,0,centralizada,True,214,85,2.5176470588235293,0.7928507567632851,25.900005370714545,9,1,0.15,323.0,0.17096889040681953,0.08018577514153111,0.06603855047944857,663.0,0.0,118.0,55.222951601402706
j6010_1.sm,0,adaptativa,True,142,85,1.6705882352941177,0.8959401408500789,4.5,1,10,0.016666666666666666,323.0,0.12566135500301234,0.01393188854489164,0.07737228048630179,470.0,10.0,4.0,40.58861766597299
j6010_1.sm,1,centralizada,True,235,85,2.764705882352941,0.7912961500915328,27.597251091721034,10,3,0.16666666666666666,323.0,0.17962348631706626,0.08544040585672147,0.08125615139814958,565.0,0.0,91.0,58.018386080412405
j6010_1.sm,1,adaptativa,True,152,85,1.7882352941176471,0.919451288774537,7.5,3,6,0.05,323.0,0.0777144176227341,0.02321981424148607,0.04691024944102866,492.0,10.0,8.0,25.10175689214311
j6010_1.sm,2,centralizada,True,354,85,4.1647058823529415,0.7981596141656981,33.34530908477753,13,2,0.21666666666666667,323.0,0.21171820631272342,0.10323625103646294,0.0834589140085026,654.0,0.0,97.0,68.38498063900967
j6010_1.sm,2,adaptativa,True,139,85,1.6352941176470588,0.8456618541498859,4.0,4,17,0.06666666666666667,323.0,0.22875498607986564,0.01238390092879257,0.12547017090925455,498.0,13.0,4.0,73.8878605037966
j6010_1.sm,3,centralizada,True,194,85,2.2823529411764705,0.7840002016739748,12.671526754499599,7,4,0.11666666666666667,323.0,0.13578001651938848,0.03923073298606687,0.05711603652498715,602.0,0.0,122.0,43.856945335762475
j6010_1.sm,3,adaptativa,True,152,85,1.7882352941176471,0.8887798585943433,4.0,1,12,0.016666666666666666,323.0,0.1569614813445127,0.01238390092879257,0.08454007060357503,533.0,11.0,5.0,50.698558474277604
j6010_1.sm,4,centralizada,True,244,85,2.8705882352941177,0.7494349965596603,27.798572913229442,18,3,0.3,323.0,0.32287893348658386,0.08606369322981251,0.1260620927215575,620.0,0.0,103.0,104.2898955161666
j6010_1.sm,4,adaptativa,True,158,85,1.8588235294117648,0.8565155886447761,10.748728595858422,7,10,0.11666666666666667,323.0,0.21189125143263698,0.03327779751039759,0.11360596058854569,516.0,15.0,3.0,68.44087421274175
