metrica,sentido,media_centralizada,media_adaptativa,variacao_percentual,wilcoxon_estatistica,p_valor,d_cohen_pareado,proporcao_pares_favoraveis_ao_adaptativo,n_pares
E_total,maior e melhor,0.783901,0.888532,13.3475,131.0,2.2661370697308586e-32,1.9009,0.974,192
S_UR_maximo,menor e melhor,25.112263,6.823482,-72.8281,15.0,3.723504746823508e-33,-2.0576,0.9844,192
n_com_erro,menor e melhor,13.020833,3.822917,-70.64,8.5,9.231481494112706e-33,-2.3995,0.9792,192
atraso_relativo,menor e melhor,3.134533,1.999133,-36.2223,0.0,2.9428622333060827e-33,-1.9879,1.0,192
taxa_omissao,menor e melhor,0.217014,0.063715,-70.64,10.0,1.0161617634107821e-32,-2.3995,0.9792,192
retrabalho_sobre_plano,menor e melhor,0.203099,0.154468,-23.9443,2731.0,2.3829502485717224e-17,-0.7287,0.7708,192
divida_latente_sobre_plano,menor e melhor,0.074127,0.020144,-72.8245,16.0,3.7822927526820494e-33,-2.0457,0.9844,192
retrabalho_sobre_esforco_realizado,menor e melhor,0.077004,0.084614,9.882,6432.0,0.00023957421093292786,0.2876,0.3958,192
TR,menor e melhor,68.86532,52.508906,-23.7513,2754.0,3.077454744273874e-17,-0.7204,0.7708,192
TU,menor e melhor,126.265625,5.942708,-95.2935,1.0,2.9826016255514625e-33,-2.2522,0.9948,192
