onda,parametro,verdade,nroy_min,nroy_max,largura_nroy,largura_prior,reducao,contem_verdade
onda1,risco.F_ancora,0.18,0.11084,0.24292,0.13208,0.2,0.3396,True
onda1,retrabalho.f_retrabalho,0.42,0.30318,0.78865,0.48547,0.5,0.0291,True
onda1,agentes.tau_sat,0.85,0.75069,1.37665,0.62596,0.7,0.1058,True
onda1,agentes.k_heuristico,0.135,0.06095,0.15853,0.09758,0.1,0.0242,True
onda1,fuzzy.mu_minimo,0.62,0.57791,0.67099,0.09308,0.29999999999999993,0.6897,True
onda2,risco.F_ancora,0.18,0.1118,0.23825,0.12646,0.2,0.3677,True
onda2,retrabalho.f_retrabalho,0.42,0.30365,0.77368,0.47004,0.5,0.0599,True
onda2,agentes.tau_sat,0.85,0.75145,1.37528,0.62383,0.7,0.1088,True
onda2,agentes.k_heuristico,0.135,0.0612,0.15541,0.09421,0.1,0.0579,True
onda2,fuzzy.mu_minimo,0.62,0.58072,0.66968,0.08896,0.29999999999999993,0.7035,True
