braco,cenario,ablacao,arquivo,semente,concluiu,makespan,atraso_relativo,E_total,TW,TL,TU,TR,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,S_UR_maximo,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_colega_capaz_sem_confianca,tarefas_acima_da_competencia_maxima_inicial,competencia_minima_inicial,competencia_maxima_inicial,competencia_maxima_final
centralizada,centralizada,nenhuma,j6010_1.sm,0,True,214,2.5176470588235293,0.7928507567632851,663.0,0.0,118.0,55.22295160140271,9,1,0,0.15,25.900005370714545,323.0,0.1709688904068195,0.0801857751415311,40,0,0,118,20,118,32,86,16,0.4857196752206667,0.6268507180531939,0.6268507180531939
centralizada,centralizada,nenhuma,j6010_1.sm,1,True,235,2.764705882352941,0.7912961500915328,565.0,0.0,91.0,58.018386080412405,10,3,0,0.1666666666666666,27.597251091721034,323.0,0.1796234863170662,0.0854404058567214,22,0,0,91,38,91,35,56,14,0.3936211322074767,0.6586427040007742,0.6586427040007742
centralizada,centralizada,nenhuma,j6010_1.sm,2,True,354,4.1647058823529415,0.7981596141656981,654.0,0.0,97.0,68.38498063900967,13,2,0,0.2166666666666666,33.34530908477753,323.0,0.2117182063127234,0.1032362510364629,38,0,0,97,22,97,40,57,4,0.2570239140832174,0.7659648859265082,0.7659648859265082
centralizada,centralizada,nenhuma,j6010_1.sm,3,True,194,2.2823529411764705,0.7840002016739748,602.0,0.0,122.0,43.85694533576248,7,4,0,0.1166666666666666,12.6715267544996,323.0,0.1357800165193884,0.0392307329860668,28,0,0,122,32,122,38,84,3,0.2433201962422982,0.794910294566222,0.794910294566222
centralizada,centralizada,nenhuma,j6010_1.sm,4,True,244,2.8705882352941177,0.7494349965596603,620.0,0.0,103.0,104.2898955161666,18,3,0,0.3,27.79857291322944,323.0,0.3228789334865838,0.0860636932298125,28,0,0,103,32,103,28,75,6,0.3530323246498424,0.7496468789669437,0.7496468789669437
centralizada,centralizada,nenhuma,j6010_1.sm,5,True,207,2.4352941176470586,0.7799547378210466,583.0,0.0,94.0,70.47927248794271,19,1,0,0.3166666666666666,19.533007124238733,323.0,0.2182020820060145,0.0604737062669929,27,0,0,94,33,94,45,49,9,0.3910769205246226,0.6863255838987572,0.6863255838987572
centralizada,centralizada,nenhuma,j6010_1.sm,6,True,191,2.247058823529412,0.8262657232208831,610.0,0.0,79.0,49.26129156386479,8,1,0,0.1333333333333333,22.329163572337063,323.0,0.1525117385878167,0.0691305373756565,29,0,0,79,31,79,35,44,4,0.2436049793851584,0.7631789564580391,0.7631789564580391
centralizada,centralizada,nenhuma,j6010_1.sm,7,True,230,2.7058823529411766,0.7525106970268436,636.0,0.0,167.0,42.17070988203179,10,2,0,0.1666666666666666,15.401290633750923,323.0,0.1305594733189838,0.047682014345978,41,0,0,167,19,167,55,112,20,0.4310024134004245,0.5858494645010164,0.5858494645010164
centralizada,centralizada,nenhuma,j6010_1.sm,8,True,192,2.2588235294117647,0.6872947945865095,649.0,0.0,220.0,75.28184981446209,9,5,0,0.15,22.64493484730145,323.0,0.2330707424596349,0.0701081574219859,42,0,0,220,18,220,65,155,27,0.2724902104363956,0.5273323364698471,0.5273323364698471
centralizada,centralizada,nenhuma,j6010_1.sm,9,True,227,2.670588235294117,0.8484306750700897,608.0,0.0,59.0,49.61718259983056,10,1,0,0.1666666666666666,21.921646589316737,323.0,0.153613568420528,0.0678688748895255,29,0,0,59,31,59,22,37,9,0.3512385487549321,0.6872143627230507,0.6872143627230507
centralizada,centralizada,nenhuma,j6010_1.sm,10,True,213,2.5058823529411764,0.7097652382341401,661.0,0.0,188.0,82.29384815257293,15,4,0,0.25,25.060154096069223,323.0,0.2547797156426407,0.0775856163964991,39,0,0,188,21,188,58,130,20,0.4175993861121362,0.5820371027673271,0.5820371027673271
centralizada,centralizada,nenhuma,j6010_1.sm,11,True,210,2.4705882352941178,0.7826528377443965,588.0,0.0,107.0,56.29095768005445,12,3,0,0.2,20.01346466576012,323.0,0.1742754107741623,0.061961190915666,24,0,0,107,36,107,32,75,7,0.486713896835989,0.7131697048371954,0.7131697048371954
centralizada,centralizada,nenhuma,j6013_1.sm,0,True,327,4.739130434782608,0.8367978581320425,700.0,0.0,95.0,41.52221763878311,9,1,0,0.15,13.98693738782737,340.0,0.1221241695258326,0.0411380511406687,49,0,0,95,11,95,25,70,24,0.4857196752206667,0.6268507180531939,0.6268507180531939
centralizada,centralizada,nenhuma,j6013_1.sm,1,True,367,5.318840579710145,0.8546299955535999,714.0,0.0,62.0,59.44926309015797,14,3,0,0.2333333333333333,17.804946045020635,340.0,0.1748507737945822,0.0523674883677077,46,0,0,62,14,62,15,47,21,0.3936211322074767,0.6586427040007742,0.6586427040007742
centralizada,centralizada,nenhuma,j6013_1.sm,2,True,342,4.956521739130435,0.8589681365010834,686.0,0.0,21.0,91.63265102515804,18,1,0,0.3,25.758534672274287,340.0,0.2695077971328177,0.0757603960949243,37,0,0,21,23,21,7,14,5,0.2570239140832174,0.7659648859265082,0.7659648859265082
centralizada,centralizada,nenhuma,j6013_1.sm,3,True,295,4.27536231884058,0.7902832456521172,694.0,0.0,114.0,70.16615601831822,10,4,0,0.1666666666666666,10.78699510543891,340.0,0.2063710471127006,0.0317264561924673,38,0,0,114,22,114,29,85,1,0.2433201962422982,0.794910294566222,0.794910294566222
centralizada,centralizada,nenhuma,j6013_1.sm,4,True,291,4.217391304347826,0.8025105545418701,662.0,0.0,93.0,69.91126908345332,13,3,0,0.2166666666666666,14.61554958198457,340.0,0.2056213796572156,0.0429869105352487,32,0,0,93,28,93,24,69,9,0.3530323246498424,0.7496468789669437,0.7496468789669437
centralizada,centralizada,nenhuma,j6013_1.sm,5,True,365,5.2898550724637685,0.7888548105513925,718.0,0.0,80.0,112.18016293534863,17,4,0,0.2833333333333333,24.084392117397712,340.0,0.3299416556922019,0.0708364474041109,46,0,0,80,14,80,19,61,14,0.3910769205246226,0.6863255838987572,0.6863255838987572
centralizada,centralizada,nenhuma,j6013_1.sm,6,True,285,4.130434782608695,0.8800759560597662,720.0,0.0,15.0,83.11120397329051,14,2,0,0.2333333333333333,26.704174099995427,340.0,0.2444447175685015,0.0785416885293983,42,0,0,15,18,15,3,12,6,0.2436049793851584,0.7631789564580391,0.7631789564580391
centralizada,centralizada,nenhuma,j6013_1.sm,7,True,291,4.217391304347826,0.7793112109722334,697.0,0.0,82.0,115.37953693807935,15,4,0,0.25,37.561345658980855,340.0,0.3393515792296451,0.110474546055826,43,0,0,82,17,82,20,62,29,0.4310024134004245,0.5858494645010164,0.5858494645010164
centralizada,centralizada,nenhuma,j6013_1.sm,8,True,307,4.449275362318841,0.69962321860581,681.0,0.0,214.0,78.3810741116886,11,4,0,0.1833333333333333,24.496847276542105,340.0,0.2305325709167311,0.0720495508133591,39,0,0,214,21,214,53,161,31,0.2724902104363956,0.5273323364698471,0.5273323364698471
centralizada,centralizada,nenhuma,j6013_1.sm,9,True,345,5.0,0.7817526329655623,676.0,0.0,97.0,91.72366256779732,16,2,0,0.2666666666666666,45.69470805292978,340.0,0.2697754781405804,0.1343962001556758,40,0,0,97,20,97,24,73,14,0.3512385487549321,0.6872143627230507,0.6872143627230507
