braco,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_colega_capaz_sem_confianca,tarefas_acima_da_competencia_maxima_inicial,competencia_minima_inicial,competencia_maxima_inicial,competencia_maxima_final,n_adiamentos
adaptativa,19.1667,0.0,10.4896,5.9427,40.8333,16.4323,5.9427,0.0,14.5417,0.3605,0.6784,0.904,0.0
adaptativa__assistencia_universal,19.1667,0.0,10.4896,5.9427,40.8333,16.4323,5.9427,0.0,14.5417,0.3605,0.6784,0.904,0.0
adaptativa__sem_assistencia,35.1146,0.0,0.0,145.1979,24.8854,145.1979,49.9427,95.2552,14.5417,0.3605,0.6784,0.6784,0.0
centralizada,38.6406,0.0,0.0,126.2656,21.3594,126.2656,44.8438,81.4219,14.5417,0.3605,0.6784,0.6784,0.0
centralizada__assistencia_universal,24.9948,0.0,9.974,6.4479,35.0052,16.4219,6.4479,0.0,14.5417,0.3605,0.6784,0.8921,0.0
centralizada__sem_assistencia,38.6406,0.0,0.0,126.2656,21.3594,126.2656,44.8438,81.4219,14.5417,0.3605,0.6784,0.6784,0.0
pr_0.3000,38.6771,0.0,0.0,124.349,21.3229,124.349,43.7396,80.6094,14.5417,0.3605,0.6784,0.6784,0.0
pr_0.4500,39.0208,0.0,0.0,124.5625,20.9792,124.5625,44.4896,80.0729,14.5417,0.3605,0.6784,0.6784,0.0
pr_0.6000,38.6198,0.0,0.0,124.7083,21.3802,124.7083,43.9479,80.7604,14.5417,0.3605,0.6784,0.6784,0.0
sem_par_tau,38.9219,0.0,0.0,123.4219,21.0781,123.4219,44.4323,78.9896,14.5417,0.3605,0.6784,0.6784,0.0
so_p_deteccao,38.6302,0.0,0.0,126.2135,21.3698,126.2135,46.0781,80.1354,14.5417,0.3605,0.6784,0.6784,0.0
so_p_reporte,38.6823,0.0,0.0,122.9896,21.3177,122.9896,43.3594,79.6302,14.5417,0.3605,0.6784,0.6784,0.0
so_par_tau,20.1354,0.0,10.3854,6.1771,39.8646,16.5625,6.1771,0.0,14.5417,0.3605,0.6784,0.8993,0.0
so_tau_inicial,20.1354,0.0,10.3854,6.1771,39.8646,16.5625,6.1771,0.0,14.5417,0.3605,0.6784,0.8993,0.0
so_tau_min,38.6406,0.0,0.0,126.2656,21.3594,126.2656,44.8438,81.4219,14.5417,0.3605,0.6784,0.6784,0.0
