tau_min,tau_inicial,empate_exato,valores_distintos_de_confianca,arquivo,semente,atraso_relativo,E_total,TW,TL,TU,TR,n_com_erro,S_UR_maximo,p2_ajuda,p2_bloqueio,p1_omissao,p3_analitica
0.2,0.25,False,1,j6010_1.sm,0,2.588235294117647,0.9171820540583682,590.0,10.0,4.0,39.27468836678004,10,16.546094164555583,10,4,19,41
0.2,0.25,False,1,j6010_1.sm,1,2.5058823529411764,0.891813744173727,593.0,10.0,5.0,56.93704977536486,15,29.18910206999211,10,5,18,42
0.2,0.25,False,1,j6010_1.sm,2,2.8,0.860164946349718,612.0,12.0,3.0,84.49144428303484,21,38.31741841584217,12,3,18,42
0.2,0.25,False,1,j6010_1.sm,3,2.3294117647058825,0.9288829711121512,637.0,13.0,5.0,30.76991915065487,10,13.578363344937744,13,5,27,33
0.2,0.25,False,1,j6010_1.sm,4,2.1294117647058823,0.896657917831098,632.0,15.0,3.0,54.8395909208363,8,24.35711157347994,15,3,26,34
0.2,0.25,False,1,j6010_1.sm,5,2.0352941176470587,0.914561016201378,591.0,10.0,6.0,39.211668254474496,7,9.0,10,6,23,37
0.2,0.25,False,1,j6010_1.sm,6,2.117647058823529,0.9137796892570984,614.0,7.0,5.0,45.9343920843557,9,28.27705765235757,7,5,25,35
0.2,0.25,False,1,j6010_1.sm,7,2.5058823529411764,0.9253391331125624,573.0,12.0,6.0,28.232430030923325,10,11.5,12,6,17,43
0.2,0.25,False,1,j6010_1.sm,8,2.611764705882353,0.879762877479048,664.0,15.0,3.0,72.74882720976544,13,19.0,15,3,33,27
0.2,0.25,False,1,j6010_1.sm,9,2.1294117647058823,0.9058582007186156,594.0,11.0,6.0,44.73176853593749,11,23.73176853593749,11,6,21,39
0.2,0.25,False,1,j6010_1.sm,10,2.1294117647058823,0.9019677520667254,631.0,15.0,3.0,50.58155217207818,12,21.622808951161765,15,3,27,33
0.2,0.25,False,1,j6010_1.sm,11,2.235294117647059,0.9139294466075156,632.0,15.0,3.0,41.51946284909524,11,22.66522371931952,15,3,24,36
0.2,0.25,False,1,j6013_1.sm,0,4.217391304347826,0.9435125852762468,707.0,8.0,2.0,32.32757764222137,6,14.093620985591375,8,2,43,17
0.2,0.25,False,1,j6013_1.sm,1,4.188405797101449,0.8600075210793232,713.0,4.0,1.0,111.06251692447248,18,40.61729094669142,4,1,36,24
0.2,0.25,False,1,j6013_1.sm,2,4.594202898550725,0.8341950196609808,695.0,7.0,2.0,129.1385151189826,21,41.48432846508227,7,2,34,26
