metrica,termo,ordem,parcela_media,pct_do_contraste,p_valor,n_instancias
atraso_relativo,A,1,-0.5967631177136437,52.55976151279914,3.0517578125e-05,16
atraso_relativo,B,1,0.0,-0.0,,16
atraso_relativo,C,1,-0.3161998532438221,27.84922255341554,3.0517578125e-05,16
atraso_relativo,D,1,-0.4365124252325411,38.445722073938725,3.0517578125e-05,16
atraso_relativo,AB,2,0.0,-0.0,,16
atraso_relativo,AC,2,0.02526163754621015,-2.224912373838585,0.632171630859375,16
atraso_relativo,AD,2,-0.1062305695199935,9.356230694570009,0.02496337890625,16
atraso_relativo,BC,2,0.0,-0.0,,16
atraso_relativo,BD,2,0.0,-0.0,,16
atraso_relativo,CD,2,0.29695918637778107,-26.15460565802021,3.0517578125e-05,16
atraso_relativo,ABC,3,0.0,-0.0,,16
atraso_relativo,ABD,3,0.0,-0.0,,16
atraso_relativo,ACD,3,-0.0019140695827911947,0.16858119713538067,0.781951904296875,16
atraso_relativo,BCD,3,0.0,-0.0,,16
atraso_relativo,ABCD,4,1.3877787807814457e-17,-1.222282671051343e-15,,16
atraso_relativo,SOMA_principais,0,-1.349475396190007,118.85470614015343,,16
atraso_relativo,SOMA_interacoes,0,0.21407618482120655,-18.854706140153407,,16
E_total,A,1,0.10294900979532196,98.39240130627078,3.0517578125e-05,16
E_total,B,1,0.0,0.0,,16
E_total,C,1,0.004484947458065602,4.28643996682309,0.033538818359375,16
E_total,D,1,0.0018999282493706582,1.81583585055223,0.743560791015625,16
E_total,AB,2,0.0,0.0,,16
E_total,AC,2,-0.0020731423959219064,-1.9813833954317541,0.2978515625,16
E_total,AD,2,-0.0026935599241810562,-2.574340729740109,0.820892333984375,16
E_total,BC,2,0.0,0.0,,16
E_total,BD,2,0.0,0.0,,16
E_total,CD,2,-0.0024271034235933894,-2.3196778146852663,0.632171630859375,16
E_total,ABC,3,0.0,0.0,,16
E_total,ABD,3,0.0,0.0,,16
E_total,ACD,3,0.002490977546743274,2.3807248162110177,0.781951904296875,16
E_total,BCD,3,0.0,0.0,,16
E_total,ABCD,4,0.0,0.0,,16
E_total,SOMA_principais,0,0.10933388550275822,104.49467712364611,,16
E_total,SOMA_interacoes,0,-0.004702828196953078,-4.494677123646112,,16
TL,A,1,10.385416666666668,99.00695134061569,0.0004358423668112835,16
TL,B,1,0.0,0.0,,16
TL,C,1,0.0,0.0,,16
TL,D,1,0.0,0.0,,16
