etapa,arquivo,cenario,P_max,semente,P_realizada_media,mu_cog_medio,defeitos_gerados,S_UR_maximo,fracao_heuristica
piloto,j6010_1.sm,centralizada,0.2,0,0.2,0.9876184566019334,10,12.0,0.4152173913043478
piloto,j6010_1.sm,centralizada,0.2,1,0.1999999999999999,0.9791199542136416,11,12.5,0.3433476394849785
piloto,j6010_1.sm,centralizada,0.2,2,0.1999999999999999,0.9766251926591786,16,23.5,0.2136929460580912
piloto,j6010_1.sm,centralizada,0.2,3,0.1999999999999999,0.9776685970006296,13,12.5,0.2627118644067797
piloto,j6010_1.sm,centralizada,0.2,4,0.1999999999999999,0.9668334458327424,9,11.0,0.4381338742393509
piloto,j6010_1.sm,centralizada,0.2,5,0.1999999999999999,0.9705241999038337,11,21.5,0.391578947368421
piloto,j6010_1.sm,centralizada,0.2,6,0.2,0.9878023679087596,14,13.0,0.2103004291845493
piloto,j6010_1.sm,centralizada,0.2,7,0.2,0.989216514230022,13,16.5,0.5164835164835165
piloto,j6010_1.sm,centralizada,0.2,8,0.1999999999999999,0.994293021077864,15,12.0,0.6948775055679287
piloto,j6010_1.sm,centralizada,0.2,9,0.2,0.986151905849049,18,11.0,0.2602150537634408
piloto,j6010_1.sm,centralizada,0.2,10,0.2,0.9867029543092868,8,7.5,0.5286343612334802
piloto,j6010_1.sm,centralizada,0.2,11,0.1999999999999999,0.9864706846695462,16,8.0,0.2340425531914893
piloto,j6010_1.sm,centralizada,0.2,12,0.1999999999999999,0.9699617210313196,12,15.0,0.2365145228215767
piloto,j6010_1.sm,centralizada,0.2,13,0.2,0.9739734751642812,12,5.0,0.15
piloto,j6010_1.sm,centralizada,0.2,14,0.1999999999999999,0.9754688802299868,14,12.0,0.3117154811715481
piloto,j6010_1.sm,centralizada,0.2,15,0.1999999999999999,0.9855955041288266,10,8.5,0.3600867678958785
piloto,j6010_1.sm,centralizada,0.2,16,0.1999999999999999,0.9665970711070084,13,22.5,0.266260162601626
piloto,j6010_1.sm,centralizada,0.2,17,0.1999999999999999,0.9876569243029308,13,14.0,0.346723044397463
piloto,j6010_1.sm,centralizada,0.2,18,0.1999999999999999,0.975094367469382,12,27.0,0.2952182952182952
piloto,j6010_1.sm,centralizada,0.2,19,0.2,0.978116461127735,12,17.5,0.3557894736842105
piloto,j6010_1.sm,centralizada,0.2,20,0.1999999999999999,0.9801411939636256,17,26.0,0.2542372881355932
piloto,j6010_1.sm,centralizada,0.2,21,0.1999999999999999,0.967208318040402,18,18.0,0.2131147540983606
piloto,j6010_1.sm,centralizada,0.2,22,0.2,0.9778604179492282,12,8.0,0.4784482758620689
