arquivo,cenario,alvo,preditor,n,rho,ic95_baixo,ic95_alto,p_valor,aprova,etapa,veredito,potencia_suficiente
j6010_1.sm,centralizada,defeitos_gerados,P_max,200,0.15641077954459556,0.013934548511575993,0.29266205141957585,0.026984054098325057,True,piloto,,
j6010_1.sm,centralizada,S_UR_maximo,P_max,200,0.31858258450091465,0.18417310556803776,0.44129566341606546,4.274673363391857e-06,True,piloto,,
j6010_1.sm,centralizada,fracao_heuristica,P_max,200,0.6898461719423569,0.6068325720194736,0.7579723017790555,1.3644402478674332e-29,True,piloto,,
j6010_1.sm,adaptativa,defeitos_gerados,P_max,200,0.08931528332393433,-0.054162899775952546,0.22917996637651292,0.20849782019152627,False,piloto,,
j6010_1.sm,adaptativa,S_UR_maximo,P_max,200,0.04157986922817767,-0.10181203547340652,0.18327916381484896,0.5588198944891785,False,piloto,,
j6010_1.sm,adaptativa,fracao_heuristica,P_max,200,0.667013899820331,0.5794101865589653,0.7393817303280346,4.153582281169518e-27,True,piloto,,
j6014_1.sm,centralizada,defeitos_gerados,P_max,200,0.3209920927604987,0.18676476322683908,0.4434544021497624,3.581716635965142e-06,True,piloto,,
j6014_1.sm,centralizada,S_UR_maximo,P_max,200,0.6503066597122336,0.5594690699900335,0.7257080276255514,1.9997485441421664e-25,True,piloto,,
j6014_1.sm,centralizada,fracao_heuristica,P_max,200,0.8837270342176865,0.8479365737187246,0.9114971018880784,3.2757400532866576e-67,True,piloto,,
j6014_1.sm,adaptativa,defeitos_gerados,P_max,200,0.036025559858516715,-0.1073139007639918,0.17789789176132165,0.6125412268001231,False,piloto,,
j6014_1.sm,adaptativa,S_UR_maximo,P_max,200,0.14171792214975576,-0.0010916052670582274,0.27886242877838324,0.04531203539826489,True,piloto,,
j6014_1.sm,adaptativa,fracao_heuristica,P_max,200,0.9303598480598853,0.9082242834799222,0.9473039280832315,3.20163724415878e-88,True,piloto,,
j6010_1.sm,centralizada,defeitos_gerados,P_max,500,0.1613354505143018,0.0721166467290374,0.2479928629079223,0.00029199768485212987,True,confirmatorio,CONFIRMA,True
j6010_1.sm,centralizada,S_UR_maximo,P_max,500,0.3513905229826418,0.26967546583951785,0.4280810039880159,5.618637510473645e-16,True,confirmatorio,CONFIRMA,True
j6010_1.sm,centralizada,fracao_heuristica,P_max,500,0.6823312765415519,0.6309228919206218,0.7277742546958054,9.156488082501261e-70,True,confirmatorio,CONFIRMA,True
j6010_1.sm,adaptativa,defeitos_gerados,P_max,500,0.07150961867911829,-0.018881344430187214,0.16074109957917626,0.11025531144970258,False,confirmatorio,NAO CONFIRMA,True
j6010_1.sm,adaptativa,S_UR_maximo,P_max,500,0.09062376161762786,0.0003576050151872055,0.17942505270805267,0.0428153859016094,True,confirmatorio,CONFIRMA,True
j6010_1.sm,adaptativa,fracao_heuristica,P_max,500,0.7080398097213305,0.6599508978034899,0.7503508873387663,2.882537498656633e-77,True,confirmatorio,CONFIRMA,True
j6014_1.sm,centralizada,defeitos_gerados,P_max,500,0.29573255227738476,0.21109886119665722,0.37596505684123355,1.5016440653693768e-11,True,confirmatorio,CONFIRMA,True
j6014_1.sm,centralizada,S_UR_maximo,P_max,500,0.6000339219968321,0.5389571929705875,0.6548342280465115,3.2013720495761977e-50,True,confirmatorio,CONFIRMA,True
j6014_1.sm,centralizada,fracao_heuristica,P_max,500,0.8815976588389478,0.8597482088083622,0.9002258567120591,1.7039808477686392e-164,True,confirmatorio,CONFIRMA,True
j6014_1.sm,adaptativa,defeitos_gerados,P_max,500,0.08072368884506911,-0.009615459597074726,0.1697557853413329,0.07131555572593634,False,confirmatorio,NAO CONFIRMA,True
j6014_1.sm,adaptativa,S_UR_maximo,P_max,500,0.17860778009938466,0.08978630111599095,0.2646106086691963,5.916077072103601e-05,True,confirmatorio,CONFIRMA,True
j6014_1.sm,adaptativa,fracao_heuristica,P_max,500,0.9387084689122278,0.9269890577853002,0.9485969095144074,1.7131328939206698e-232,True,confirmatorio,CONFIRMA,True
