braco,cenario,ablacao,arquivo,semente,concluiu,makespan,atraso_relativo,E_total,TW,TL,TU,TR,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,S_UR_maximo,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,tarefas_acima_da_competencia_maxima_inicial,competencia_minima_inicial,competencia_maxima_inicial,competencia_maxima_final
centralizada,centralizada,nenhuma,j6010_1.sm,0,True,214,2.5176470588235293,0.7928507567632851,663.0,0.0,118.0,55.22295160140271,9,1,0,0.15,25.900005370714545,323.0,0.1709688904068195,0.0801857751415311,40,0,0,118,20,118,32,3,86,16,0.4857196752206667,0.6268507180531939,0.6268507180531939
centralizada,centralizada,nenhuma,j6010_1.sm,1,True,235,2.764705882352941,0.7912961500915328,565.0,0.0,91.0,58.018386080412405,10,3,0,0.1666666666666666,27.597251091721034,323.0,0.1796234863170662,0.0854404058567214,22,0,0,91,38,91,35,9,56,14,0.3936211322074767,0.6586427040007742,0.6586427040007742
centralizada,centralizada,nenhuma,j6010_1.sm,2,True,354,4.1647058823529415,0.7981596141656981,654.0,0.0,97.0,68.38498063900967,13,2,0,0.2166666666666666,33.34530908477753,323.0,0.2117182063127234,0.1032362510364629,38,0,0,97,22,97,40,12,57,4,0.2570239140832174,0.7659648859265082,0.7659648859265082
centralizada,centralizada,nenhuma,j6010_1.sm,3,True,194,2.2823529411764705,0.7840002016739748,602.0,0.0,122.0,43.85694533576248,7,4,0,0.1166666666666666,12.6715267544996,323.0,0.1357800165193884,0.0392307329860668,28,0,0,122,32,122,38,7,84,3,0.2433201962422982,0.794910294566222,0.794910294566222
centralizada,centralizada,nenhuma,j6010_1.sm,4,True,244,2.8705882352941177,0.7494349965596603,620.0,0.0,103.0,104.2898955161666,18,3,0,0.3,27.79857291322944,323.0,0.3228789334865838,0.0860636932298125,28,0,0,103,32,103,28,1,75,6,0.3530323246498424,0.7496468789669437,0.7496468789669437
centralizada,centralizada,nenhuma,j6010_1.sm,5,True,207,2.4352941176470586,0.7799547378210466,583.0,0.0,94.0,70.47927248794271,19,1,0,0.3166666666666666,19.533007124238733,323.0,0.2182020820060145,0.0604737062669929,27,0,0,94,33,94,45,14,49,9,0.3910769205246226,0.6863255838987572,0.6863255838987572
centralizada,centralizada,nenhuma,j6010_1.sm,6,True,191,2.247058823529412,0.8262657232208831,610.0,0.0,79.0,49.26129156386479,8,1,0,0.1333333333333333,22.329163572337063,323.0,0.1525117385878167,0.0691305373756565,29,0,0,79,31,79,35,13,44,4,0.2436049793851584,0.7631789564580391,0.7631789564580391
centralizada,centralizada,nenhuma,j6010_1.sm,7,True,230,2.7058823529411766,0.7525106970268436,636.0,0.0,167.0,42.17070988203179,10,2,0,0.1666666666666666,15.401290633750923,323.0,0.1305594733189838,0.047682014345978,41,0,0,167,19,167,55,3,112,20,0.4310024134004245,0.5858494645010164,0.5858494645010164
centralizada,centralizada,nenhuma,j6010_1.sm,8,True,192,2.2588235294117647,0.6872947945865095,649.0,0.0,220.0,75.28184981446209,9,5,0,0.15,22.64493484730145,323.0,0.2330707424596349,0.0701081574219859,42,0,0,220,18,220,65,4,155,27,0.2724902104363956,0.5273323364698471,0.5273323364698471
centralizada,centralizada,nenhuma,j6010_1.sm,9,True,227,2.670588235294117,0.8484306750700897,608.0,0.0,59.0,49.61718259983056,10,1,0,0.1666666666666666,21.921646589316737,323.0,0.153613568420528,0.0678688748895255,29,0,0,59,31,59,22,5,37,9,0.3512385487549321,0.6872143627230507,0.6872143627230507
