combinacao,NC,RF,RS_medio,RS_min,RS_max,n,nivel_RS,nivel_NC,nivel_RF
1,1.5,0.25,0.20747759999999998,0.193624,0.230556,10,1,1,1
2,1.5,0.25,0.5177067,0.50463,0.556373,10,2,1,1
3,1.5,0.25,0.7073278000000001,0.688166,0.758333,10,3,1,1
4,1.5,0.25,1.0,1.0,1.0,10,4,1,1
5,1.5,0.504167,0.2005941,0.190469,0.210539,10,1,1,2
6,1.5,0.504167,0.5075033,0.5,0.513768,10,2,1,2
7,1.5,0.504167,0.7031364,0.691753,0.716947,10,3,1,2
8,1.5,0.504167,1.0,1.0,1.0,10,4,1,2
9,1.5,0.754167,0.19997150000000002,0.187246,0.209124,10,1,1,3
10,1.5,0.754167,0.5066189999999999,0.501866,0.512205,10,2,1,3
11,1.5,0.754167,0.6993864999999999,0.694305,0.706586,10,3,1,3
12,1.5,0.754167,1.0,1.0,1.0,10,4,1,3
13,1.5,1.0,0.1999263,0.196323,0.203877,10,1,1,4
14,1.5,1.0,0.5053292,0.5,0.509388,10,2,1,4
15,1.5,1.0,0.7019895,0.698682,0.705973,10,3,1,4
16,1.5,1.0,1.0,1.0,1.0,10,4,1,4
17,1.806452,0.25,0.179745,0.140693,0.205177,10,1,2,1
18,1.806452,0.25,0.5227472,0.5,0.552473,10,2,2,1
19,1.806452,0.25,0.7180404,0.705815,0.73539,10,3,2,1
20,1.806452,0.25,1.0,1.0,1.0,10,4,2,1
21,1.806452,0.504167,0.1954359,0.18611,0.200812,10,1,2,2
22,1.806452,0.504167,0.5089815,0.503205,0.515993,10,2,2,2
23,1.806452,0.504167,0.7044111,0.697624,0.710991,10,3,2,2
24,1.806452,0.504167,1.0,1.0,1.0,10,4,2,2
25,1.806452,0.754167,0.20215909999999998,0.198914,0.206133,10,1,2,3
26,1.806452,0.754167,0.5077427,0.503788,0.512205,10,2,2,3
27,1.806452,0.754167,0.7011963,0.696482,0.70459,10,3,2,3
28,1.806452,0.754167,1.0,1.0,1.0,10,4,2,3
29,1.806452,1.0,0.1988248,0.191564,0.202477,10,1,2,4
30,1.806452,1.0,0.5053428,0.501812,0.509334,10,2,2,4
31,1.806452,1.0,0.7001643,0.696249,0.702372,10,3,2,4
32,1.806452,1.0,1.0,1.0,1.0,10,4,2,4
33,2.112903,0.25,0.1936426,0.157051,0.223764,10,1,3,1
34,2.112903,0.25,0.5211646,0.507353,0.544841,10,2,3,1
35,2.112903,0.25,0.70238,0.605556,0.725541,10,3,3,1
36,2.112903,0.25,1.0,1.0,1.0,10,4,3,1
37,2.112903,0.504167,0.1978928,0.179451,0.210239,10,1,3,2
38,2.112903,0.504167,0.510868,0.5,0.525431,10,2,3,2
39,2.112903,0.504167,0.7064409,0.694701,0.714169,10,3,3,2
40,2.112903,0.504167,1.0,1.0,1.0,10,4,3,2
41,2.112903,0.754167,0.1936165,0.186921,0.201417,10,1,3,3
42,2.112903,0.754167,0.5079667,0.503205,0.513777,10,2,3,3
43,2.112903,0.754167,0.6994463,0.69437,0.705716,10,3,3,3
44,2.112903,0.754167,1.0,1.0,1.0,10,4,3,3
45,2.112903,1.0,0.2012154,0.195143,0.206988,10,1,3,4
46,2.112903,1.0,0.5053198,0.502049,0.512653,10,2,3,4
47,2.112903,1.0,0.7021108,0.6962,0.707829,10,3,3,4
48,2.112903,1.0,1.0,1.0,1.0,10,4,3,4
