arquivo,makespan_cpm,makespan_recursos,razao,ativas_media,ativas_p90,ativas_max
j6010_1.sm,85,85,1.0,3.8,5.0,6
j6011_1.sm,71,71,1.0,5.154929577464789,8.0,9
j6012_1.sm,59,59,1.0,5.610169491525424,12.400000000000006,16
j6013_1.sm,69,145,2.101449275362319,2.3448275862068964,3.0,4
j6014_1.sm,59,79,1.3389830508474576,4.2025316455696204,6.0,8
j6015_1.sm,84,84,1.0,3.9761904761904763,7.0,7
j6016_1.sm,64,64,1.0,5.703125,9.0,11
j6017_1.sm,76,115,1.513157894736842,2.7217391304347824,5.0,6
j6018_1.sm,80,86,1.075,3.86046511627907,7.0,8
j6019_1.sm,62,63,1.0161290322580645,5.333333333333333,8.0,10
j601_1.sm,77,77,1.0,4.2727272727272725,7.0,8
j6020_1.sm,60,60,1.0,5.7,10.0,11
j6021_1.sm,76,127,1.6710526315789473,2.6141732283464565,4.0,5
j6022_1.sm,62,73,1.1774193548387097,4.178082191780822,6.0,7
j6023_1.sm,75,75,1.0,5.1466666666666665,9.0,10
j6024_1.sm,65,65,1.0,4.369230769230769,7.0,8
j6025_1.sm,71,148,2.084507042253521,1.972972972972973,3.0,4
j6026_1.sm,80,83,1.0375,3.8433734939759034,5.799999999999997,7
j6027_1.sm,96,97,1.0104166666666667,3.5670103092783507,6.0,6
j6028_1.sm,92,92,1.0,3.847826086956522,6.0,7
j6029_1.sm,59,131,2.2203389830508473,2.3435114503816794,3.0,4
j602_1.sm,65,65,1.0,4.984615384615385,9.0,10
j6030_1.sm,70,88,1.2571428571428571,3.4204545454545454,5.0,5
j6031_1.sm,65,67,1.0307692307692307,4.582089552238806,7.399999999999999,8
j6032_1.sm,69,69,1.0,4.884057971014493,10.0,12
j6033_1.sm,90,113,1.2555555555555555,3.061946902654867,4.0,5
j6034_1.sm,67,100,1.492537313432836,3.29,6.0,7
j6035_1.sm,78,90,1.1538461538461537,3.922222222222222,7.0,9
j6036_1.sm,61,61,1.0,4.852459016393443,7.0,8
j6037_1.sm,70,117,1.6714285714285715,2.5641025641025643,4.0,5
j6038_1.sm,73,81,1.1095890410958904,4.209876543209877,6.0,6
j6039_1.sm,80,85,1.0625,3.8117647058823527,6.0,8
j603_1.sm,60,60,1.0,5.533333333333333,8.0,10
j6040_1.sm,86,86,1.0,4.3604651162790695,6.0,8
j6041_1.sm,91,157,1.7252747252747254,2.2929936305732483,3.0,4
j6042_1.sm,83,96,1.1566265060240963,3.4166666666666665,5.0,5
j6043_1.sm,108,108,1.0,3.0925925925925926,6.0,7
j6044_1.sm,84,84,1.0,3.8452380952380953,6.0,8
j6045_1.sm,71,127,1.7887323943661972,2.4015748031496065,3.0,4
j6046_1.sm,78,92,1.1794871794871795,3.4782608695652173,5.0,6
j6047_1.sm,75,75,1.0,4.573333333333333,7.0,7
j6048_1.sm,71,71,1.0,4.690140845070423,10.0,12
j604_1.sm,84,84,1.0,4.5476190476190474,9.0,10
j605_1.sm,59,95,1.6101694915254237,2.9894736842105263,4.0,6
j606_1.sm,60,73,1.2166666666666666,4.534246575342466,7.0,8
j607_1.sm,77,77,1.0,4.363636363636363,8.0,10
j608_1.sm,64,64,1.0,5.09375,10.0,13
j609_1.sm,59,105,1.7796610169491525,2.9047619047619047,4.0,5
